id,nome_completo,cpf,rg,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,numero_cartao,score_credito,tempo_cliente,data_cadastro
58,Calebe Pacheco,483***.***-04,574162033,k***@example.com,***-****-7683,"Morro Azevedo, 76
Varzea Da Palma
71698-099 Aragão / GO",Lima do Norte,Piauí,74423402,1970-12-13,54,Designer de interiores,Porto,48791,1.79,69.3,21.6,57034,3534159859885769,389,4,2020-12-09 23:04:19
59,Anna Liz Dias,196***.***-28,832716509,p***@example.net,***-****-7936,"Chácara de Novaes, 623
Glória
45129869 Vasconcelos / PI",Pinto Grande,Piauí,67783647,1999-02-27,26,Engenheiro petroquímico,Lopes,39364,1.52,89.0,38.5,53337,4726637985066,335,10,2024-03-30 15:14:17
60,Davi Lucca Gomes,738***.***-60,206453784,a***@example.org,***-****-7972,"Campo da Rosa, 71
Ribeiro De Abreu
07510-137 Caldeira / SE",Ribeiro de Fernandes,Mato Grosso,64934-627,1999-09-18,26,Tecnólogo em processos químicos,Machado das Neves - EI,22088,1.84,63.8,18.8,32638,4837237598983513408,484,3,2022-08-14 21:36:57
61,Nicolas das Neves,408***.***-26,01348526X,p***@example.net,***-****-0816,"Lagoa de Viana
Santo André
30401156 Machado / PA",Pereira,Paraíba,36286412,1970-02-04,55,Terapeuta Holístico,da Conceição Vasconcelos S/A,38889,1.99,71.6,18.1,43757,343213920581852,357,20,2023-02-24 00:15:13
62,Milena Cavalcanti,129***.***-03,516483201,o***@example.com,***-****-4817,"Feira Lorena Sousa
Lagoinha Leblon
20415438 Brito / MG",Aragão,Minas Gerais,96403-292,2003-07-13,22,Pára-quedista,Albuquerque,46310,1.94,85.4,22.7,90002,4186017944151068296,641,18,2024-08-22 01:39:38
63,Laís Cirino,748***.***-17,152304861,m***@example.net,***-****-0459,"Feira de Machado, 9
Alto Barroca
77287-438 Nunes / PA",Pastor,Bahia,35660-614,1969-03-04,56,Caminhoneiro,Cavalcanti Pacheco S/A,9931,1.67,99.6,35.7,16132,3535557868826907,464,11,2023-03-06 01:48:25
64,Mariana da Luz,823***.***-50,541706287,b***@example.org,***-****-5408,"Setor Rodrigues, 17
Ventosa
93148855 Gonçalves Verde / AM",Pimenta da Prata,Goiás,84017-870,1975-05-19,50,Senador,da Mota S/A,45284,1.61,55.1,21.3,63600,4264893581205,716,20,2022-10-17 05:16:14
65,Lorenzo Monteiro,582***.***-95,564182734,u***@example.org,***-****-6262,"Vereda de da Mota, 7
Araguaia
13274286 das Neves de Goiás / RR",Macedo da Mata,Ceará,90621-055,1948-04-17,77,Administrador público,Mendonça S.A.,41191,1.95,65.0,17.1,18367,3565241550661707,486,20,2022-02-10 08:56:39
66,Vitória Costa,369***.***-78,182436056,j***@example.org,***-****-1457,"Chácara Carvalho, 21
São Francisco Das Chagas
95699121 Costela / RS",Nascimento das Pedras,Roraima,35499266,1971-05-30,54,Engenheiro metalúrgico,Teixeira da Rocha e Filhos,36945,1.96,82.0,21.3,83242,2583313380369890,794,14,2023-07-12 23:15:35
67,Gustavo Castro,175***.***-20,028657317,p***@example.com,***-****-4220,"Fazenda de Fonseca, 833
Santo Antônio
46347357 Ribeiro Paulista / SE",Ramos,Rio Grande do Norte,65665972,2000-03-04,25,Patinador,Porto,19689,1.92,54.7,14.8,94294,6011273603239143,713,7,2023-06-10 17:47:46
68,Matheus da Mota,514***.***-43,782416354,m***@example.com,***-****-5259,"Viaduto Maria Flor Vargas
Silveira
46593-883 Mendes / SP",da Cruz do Amparo,Sergipe,71895568,1968-11-23,56,Engenheiro de transportes,Vieira,19836,1.98,112.9,28.8,13876,4946203168307899,695,0,2022-09-23 12:17:03
69,Sabrina Casa Grande,802***.***-10,453782061,h***@example.net,***-****-5562,"Estrada Aragão, 40
Nova Cachoeirinha
07720475 Pacheco / AL",Gomes das Flores,Paraná,54330-599,1955-08-29,70,Jornaleiro,Câmara,11997,1.94,116.4,30.9,20432,4303381295444459,585,20,2023-06-01 01:11:14
70,Ísis Moreira,704***.***-50,815346207,m***@example.org,***-****-0095,"Estrada Rafaela Ramos, 27
Nova Esperança
23544-873 Melo / SC",Pimenta,Roraima,53268-278,1967-01-10,58,Tecnólogo em tecnologia da madeira,Cirino,10463,1.72,80.7,27.3,77419,4052555193027903,844,5,2024-06-12 18:18:59
71,Sra. Eloá Cavalcante,903***.***-30,301864275,l***@example.net,***-****-0163,"Praça Ribeiro
Chácara Leonina
76087-348 Duarte da Serra / AP",Marques de Goiás,Amazonas,89031-507,1986-08-20,39,Administrador,Dias Ltda.,16662,1.9,90.3,25.0,60076,371913477834779,565,18,2022-10-31 06:38:49
72,Paulo da Mata,132***.***-02,205817348,y***@example.net,***-****-9189,"Avenida Souza, 70
Camponesa 2ª Seção
17681-247 Albuquerque do Norte / SC",Cavalcanti,Pernambuco,76743-781,2000-10-06,25,Sonoplasta,Monteiro Gonçalves - EI,40417,1.97,97.7,25.2,18516,213153967031782,309,0,2023-08-17 15:37:05
73,Diogo Leão,279***.***-61,047865325,u***@example.net,***-****-9344,"Favela João Felipe Sampaio, 549
Urca
61390-478 Pimenta do Sul / SE",Silva de da Mata,Rio Grande do Norte,97777-070,1974-09-30,51,Assistente de direção,Cirino,23612,1.95,111.3,29.3,56242,676281070331,585,1,2023-05-05 00:23:48
74,Otávio Gomes,147***.***-99,021843752,c***@example.org,***-****-6236,"Viela Freitas, 47
Camponesa 2ª Seção
39821-720 Mendonça Grande / GO",Farias,Santa Catarina,70673-901,1959-02-27,66,Tecnólogo em esporte e lazer,Pastor,46759,1.88,116.6,33.0,40395,561736498099,820,9,2024-02-09 05:44:41
75,Emanuel Cassiano,843***.***-74,376810543,n***@example.net,***-****-5063,"Quadra Silveira, 1
Acaba Mundo
88118-654 Costela de Ferreira / MS",Pacheco,Paraíba,35698550,1961-02-14,64,Fiscal,Araújo da Cunha - ME,12806,1.94,96.1,25.5,60164,4368956437137970,608,12,2023-05-21 07:55:11
76,Bernardo Leão,209***.***-05,287634516,j***@example.org,***-****-0876,"Passarela Santos, 9
Marçola
51739759 Cunha da Mata / GO",Ferreira do Norte,Mato Grosso,09642-662,2001-12-14,23,Tenente,Vasconcelos Lima - ME,3144,1.72,67.6,22.9,83604,4913534376345827322,750,8,2022-07-28 05:18:05
77,Davi Lucca Vieira,342***.***-28,407218361,l***@example.org,***-****-7209,"Praia Josué Farias, 15
Cruzeiro
64444549 Silva da Prata / MG",Cirino de Vasconcelos,Roraima,92477-047,1959-02-21,66,Dançarino,Lopes,30769,1.69,110.4,38.7,89684,180046078756959,370,0,2025-02-19 19:11:43
78,Eloá Gomes,326***.***-92,816037243,a***@example.org,***-****-9216,"Setor Moraes
Braúnas
63677272 Silveira de Moreira / SP",Caldeira de Brito,Ceará,05880-382,1998-12-06,26,Mecanógrafo,Ribeiro Jesus Ltda.,12611,1.61,112.0,43.2,48932,6563618031933349,483,1,2023-01-08 23:47:37
79,João Vitor Leão,760***.***-01,157603428,h***@example.com,***-****-6467,"Chácara João Gabriel Peixoto, 65
Lourdes
89851853 Souza do Galho / MS",Costa,Santa Catarina,64870207,1959-05-07,66,Escritor,Farias,41629,1.76,90.4,29.2,17980,501800660521,440,6,2021-09-15 14:37:56
80,Sra. Zoe Peixoto,054***.***-56,085721360,z***@example.com,***-****-4460,"Rua Aparecida, 2
Vila Rica
05622-331 Ferreira de Goiás / AM",da Costa,Rondônia,73857190,1973-05-31,52,Assistente administrativo,Dias - EI,15326,1.8,82.3,25.4,32305,5200301828252030,325,6,2024-03-12 22:25:49
81,Caleb Cavalcante,023***.***-10,416275308,d***@example.org,***-****-7642,"Estrada Davi Lucas Fonseca, 37
Vila Aeroporto Jaraguá
72722-861 Castro do Campo / RO",Siqueira de Minas,Amapá,39126-173,1974-08-10,51,Brigadeiro,Camargo - ME,30317,1.62,108.0,41.2,39513,4825128770603755,629,6,2023-02-20 10:50:00
82,Davi Lucas Albuquerque,507***.***-77,152047384,t***@example.net,***-****-5624,"Colônia Zoe Mendonça, 1
São Benedito
16874995 Machado de Siqueira / GO",da Conceição de Pastor,Ceará,25125-223,1957-06-20,68,Engenheiro de minas,da Cruz Silva Ltda.,49730,1.84,51.8,15.3,16083,6011294296455960,840,7,2021-02-13 02:24:43
83,Brayan Cassiano,690***.***-60,785346028,d***@example.com,***-****-8979,"Rodovia Pacheco, 30
Universitário
13340337 Casa Grande / RN",Pires,Tocantins,05810-868,1959-05-06,66,Repórter,Pastor,17876,1.51,99.8,43.8,16331,213192234191342,729,17,2025-03-20 07:39:13
84,Isadora Sales,426***.***-13,304861753,l***@example.org,***-****-8190,"Viela Luísa Lima, 978
Lagoinha Leblon
55423-535 Ramos de Cardoso / ES",Garcia de Fonseca,Rio Grande do Sul,02199579,1947-02-21,78,Geriatra,Montenegro,39906,1.85,80.6,23.6,6626,4206228028253004,796,7,2022-05-23 01:19:54
