id,nome_completo,cpf,rg,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,numero_cartao,score_credito,tempo_cliente,data_cadastro
11,Juliana Santos,524.837.961-09,702486310,5fa756b35911408d,a1e78d560c830273,"Lago Ribeiro, 36
Vila Santo Antônio
42876-676 Machado de Garcia / MA",Moreira,Maranhão,32900-809,1982-12-07,42,Broker/Corretor da bolsa de valores,Freitas Cardoso - ME,12771,1.99,75.4,19.0,74492,5473744139415830,814,13,2021-07-16 22:36:16
12,Noah Porto,306.489.157-00,420671353,197a978fcf88d045,5e88563585615791,"Pátio Vitor Gabriel da Cruz, 15
Buraco Quente
20773989 da Mata / PA",Caldeira,Pernambuco,97082-771,1950-01-20,75,Luthier,Siqueira Lima S.A.,29680,1.97,92.4,23.8,84841,5513620797799347,765,20,2020-11-30 13:04:46
13,Felipe Fernandes,195.648.237-73,582430719,6d1c08dc5c4939a4,caa9d1c74fe5de6d,"Passarela Davi Lucas Siqueira, 79
Novo Glória
02939-997 Machado / AP",da Mota da Praia,Pará,21668-634,1949-12-28,75,Zelador,Peixoto,28297,1.91,72.6,19.9,28481,4591871138558517452,682,10,2021-02-03 02:08:56
14,Dr. Diogo Siqueira,830.246.715-44,058341766,7aabed215559afc0,702c5591c323c8cf,"Rodovia Silveira, 240
Santa Efigênia
42784530 Fonseca / MA",Farias de Goiás,Sergipe,50585-026,1950-07-20,75,Técnico em taquigrafia,da Cunha S/A,19989,1.8,92.6,28.6,77593,343309218788413,589,18,2021-07-07 11:37:39
15,Srta. Bella da Costa,071.864.523-53,450127382,ae9ad1dfbe892a45,1f97036da2d36504,"Alameda Novais, 39
Marieta 1ª Seção
17987-593 Oliveira de Mendonça / PI",Albuquerque,Mato Grosso,80956830,1957-04-29,68,Arranjador musical,Nogueira,20502,1.79,113.5,35.4,60102,4662902030672264362,347,12,2022-04-09 13:20:34
16,Sophie Moura,160.249.375-80,615073487,9612e372b5773600,69dbbd45fc1f2c3e,"Viela Brayan Guerra, 41
Santa Maria
96648575 Andrade dos Dourados / AP",da Mata,Acre,23098-010,1962-11-22,62,Mecânico,Brito,35721,1.54,69.8,29.4,52211,4975652425232056,467,19,2022-01-29 14:16:21
17,Luigi Cardoso,314.506.978-01,476215389,a17740a26e160935,70574cf8ebb3fb2d,"Estrada Vieira, 18
Conjunto Califórnia Ii
27039316 Vasconcelos dos Dourados / SE",Macedo,Bahia,15918-067,1976-09-30,49,Engenheiro de controle e automação,Siqueira Alves S/A,16314,1.75,51.6,16.8,25758,2273931522932567,682,6,2021-12-03 04:07:57
18,Luiz Gustavo Moura,371.684.592-28,280637159,24a391f31fb41f27,87123b2643a2e767,"Sítio Emanuelly Aparecida, 182
Conjunto Capitão Eduardo
27609702 Dias / GO",Fonseca,Santa Catarina,30900868,1983-10-03,42,Engenheiro aeronáutico,da Conceição Cardoso - ME,40273,1.64,59.9,22.3,55170,2277929039836822,315,11,2022-12-29 13:34:35
19,Noah Pastor,340.295.781-79,832057642,c23e1383cb32deb1,4482a108a7e1b7f4,"Viaduto de Ribeiro, 746
Olhos D'água
46808-436 Pacheco da Serra / RJ",Nascimento da Prata,Roraima,22648-669,2006-08-01,19,Dublê,Cunha - EI,27777,1.65,113.9,41.8,52415,4551299518819,838,1,2023-06-09 15:17:59
20,Dr. Anthony Gabriel da Paz,749.683.510-20,130472864,b622fa17e54fecc7,40116eb5a16d54df,"Via de Pacheco, 4
Mangabeiras
86334-517 Sales / MA",Garcia da Praia,Goiás,67976-398,1965-07-14,60,Tecnólogo em silvicultura,da Conceição Moreira S/A,26100,1.57,90.2,36.6,48881,6585724272100335,755,10,2025-07-18 04:01:24
21,Caio Novaes,539.624.017-25,187256408,f02152515cb272bb,ba7ca09d62585b77,"Viela de Almeida, 213
Saudade
82379645 Jesus do Galho / MS",Aragão,Bahia,14173-384,2002-12-28,22,Rebarbador de metal,Rezende,38037,1.64,75.6,28.1,8645,562091596337,492,19,2022-08-29 12:58:24
22,Srta. Emanuella Cavalcante,529.670.413-43,82316570X,6295e22cbff2aff4,c55311bfbd847330,"Fazenda Dom Freitas, 72
Conjunto Lagoa
39786939 da Mata / MA",Santos da Praia,Alagoas,46600975,1983-09-02,42,Tosador,Garcia,23632,1.94,57.3,15.2,33688,3543340673069306,351,13,2024-09-20 03:10:09
23,Ágatha Moura,694.528.031-42,302714583,69135a0b52e898a3,105a847810b735ae,"Setor de Aragão, 75
Vila Nova Cachoeirinha 1ª Seção
94917-743 Correia Verde / SC",Rios,Rondônia,01281-789,1976-10-28,48,Webdesigner,Vasconcelos Almeida e Filhos,21521,1.96,79.0,20.6,55707,4211759239820912653,567,20,2021-12-21 09:55:01
24,Theodoro Vieira,315.672.094-16,327164086,2f6f71b11ed9f772,0ae19f9e936c4dda,"Pátio de Porto, 68
Centro
55995401 Moreira / AM",Brito do Sul,Paraíba,53128-099,2002-08-13,23,Cardiologista,Machado Almeida S.A.,37153,1.76,92.1,29.7,79045,180019036067793,431,1,2021-12-24 19:11:04
25,José Albuquerque,605.189.234-60,406318578,68d9f7319f000e7a,79f1b8ec7fa2bdf2,"Avenida Montenegro, 21
Jardim Dos Comerciarios
26511408 Lopes dos Dourados / CE",Gonçalves das Flores,Paraíba,33503305,1949-11-12,75,Coreógrafo,Almeida Costela - EI,19122,1.55,75.5,31.4,15378,3544196602596937,666,13,2024-10-16 13:09:14
26,Julia Cunha,639.270.451-52,650341727,1ee6b5461ca51851,ef307ee2402adc92,"Chácara Fogaça, 361
Andiroba
50426509 Abreu / AC",Mendes de Fonseca,Minas Gerais,55088097,1957-05-01,68,Policial civil,Macedo Barros Ltda.,18747,1.9,80.4,22.3,53452,345789056249396,415,5,2023-11-22 23:00:47
27,Hellena Pires,468.013.795-93,258407633,45750266f1fb8682,b198f0ceb54f48da,"Ladeira de da Cunha, 393
Distrito Industrial Do Jatoba
87445-808 Sampaio / SC",Pires,Mato Grosso do Sul,25343-361,1996-04-05,29,Naturólogo,da Conceição,41978,1.95,74.8,19.7,73884,3591508322742801,543,12,2024-07-18 16:54:27
28,Giovanna Vieira,941.250.387-32,70623814X,4dc68c6413e5d38b,4345da2d018a7c8d,"Viela Pacheco
São Benedito
92546-868 Moraes do Amparo / RN",Macedo de Minas,Ceará,02378-770,1977-02-22,48,Engenheiro de processos,Rezende S/A,17560,1.89,88.4,24.7,38680,6597173987458701,688,7,2025-05-15 22:16:36
29,Ana Leão,906.328.415-24,126037486,9af5a22d809b4d1c,2124310fb1709a05,"Feira Clarice Campos
Vila Formosa
80178-193 Pimenta da Prata / MG",Costa,Piauí,85272-995,2007-06-13,18,Policial militar,Aparecida,29465,1.5,75.1,33.4,56682,4530659794418,777,19,2022-04-06 09:39:13
30,Raul da Mata,751.649.320-16,476823018,753b167fdfd468a5,43801d78c541064b,"Esplanada Mateus Costela, 725
Virgínia
37314-908 Brito de Sousa / AL",Pimenta,Rio Grande do Norte,96642234,1971-07-16,54,Engenheiro florestal,Vasconcelos Barbosa Ltda.,49201,1.87,75.0,21.4,50913,3517256440518288,794,18,2020-10-10 02:21:36
31,Dra. Luísa Fogaça,037.681.495-01,713865246,4d7909b80389a7bf,885bf9c269d15986,"Esplanada Carolina Alves
Lourdes
59591-394 Leão / MG",Peixoto,Paraná,39497473,1984-03-16,41,Copeiro,Melo Almeida e Filhos,24450,1.56,109.7,45.1,35600,4822896270695157,451,12,2024-09-15 04:43:26
32,Hadassa Câmara,405.269.187-30,465318708,8ce78de530b858a4,28ec0c1f6575d1f9,"Vereda Sousa, 362
Serra
17284-290 Caldeira / RN",da Cruz,Rio Grande do Sul,37904641,1989-05-28,36,Neurocirurgião,Pacheco Cavalcante e Filhos,24660,1.81,80.5,24.6,88217,370862938338386,629,3,2023-11-18 01:02:07
33,Davi Gonçalves,193.570.842-23,614072359,8afab6f869de1e37,6fcba2b2f4826318,"Lagoa Carvalho, 50
Penha
89909-175 Jesus / RS",Rocha,São Paulo,43125715,1995-02-25,30,Líder comunitário,da Conceição Ltda.,14962,1.94,70.9,18.8,79273,4832120995083971,452,18,2021-07-29 08:38:39
34,Dra. Maria Júlia da Rocha,087.129.645-49,203471568,7a1421d05ed6f50b,ba547c5edb3aa5a7,"Lagoa Sá, 8
Vila Independencia 2ª Seção
53024781 Machado / MG",Lopes,Paraíba,91292-562,1971-08-26,54,Atleta de arremesso de peso,Azevedo Ltda.,49298,1.86,62.7,18.1,29229,6011239494568148,428,3,2024-05-13 03:05:13
35,Matteo Câmara,371.248.650-26,806271358,bb067041bef71952,09d3a2ab49e39a36,"Setor Moreira, 3
Maria Virgínia
00276635 Aparecida dos Dourados / MA",Cassiano da Prata,Rio de Janeiro,32494829,1971-08-24,54,Geólogo,Pacheco,5756,1.83,54.6,16.3,96362,213198258250807,539,6,2020-11-12 01:41:13
36,Maria Clara Rezende,284.601.759-01,873016257,b523342b7e94d6e6,3bbb92a2712ca0bf,"Residencial de Pimenta, 189
Conjunto Paulo Vi
42660-140 Cunha / RO",da Cruz,Rio Grande do Sul,64621807,1996-01-27,29,Harpista,Dias,25947,1.79,113.2,35.3,85256,3554712479343174,431,7,2024-06-27 18:41:46
37,Luna Ramos,968.475.130-39,601725347,83f18cf096fcd8ad,f276b5344e4e076f,"Trecho Rafael Vasconcelos, 55
Vila Betânia
32971-063 Sousa / GO",Novais do Norte,Tocantins,29572-151,1986-05-10,39,Senador,Câmara,8281,1.63,63.5,23.9,42147,4060176188951,628,15,2023-10-15 02:39:18
38,Gael Henrique Albuquerque,387.526.910-12,845132672,86353faf79ee268b,d13edcdb4103fd98,"Favela de Cassiano
Vila Aeroporto
12020-795 Jesus / MA",Costela da Praia,Rio Grande do Norte,75711-215,1946-12-12,78,Cozinheira,Freitas,19511,1.95,53.5,14.1,68822,4201244159000,774,4,2021-04-23 04:28:39
39,Sra. Gabriela Cunha,750.912.486-76,547263107,7c5cb8431106a5b5,b7999fb7fd7e25e6,"Praça Ana Laura Almeida, 87
Beira Linha
69216006 Pinto de Goiás / PB",Rocha,Acre,10255043,1996-01-24,29,Marechal,Pacheco Ltda.,19271,1.77,66.8,21.3,9082,30321575109834,815,1,2021-11-30 16:54:32
40,Kevin da Mota,927.564.081-58,10364782X,2ad7c90ad7a4442a,3f5c2e7c8ac5c4f2,"Recanto de da Mata, 1
Jardim São José
67458-629 Porto de Fogaça / GO",Montenegro de Goiás,Pernambuco,41927-242,1984-02-19,41,Mensageiro,Rezende,36730,1.75,106.2,34.7,14889,4581383482512372,691,6,2022-03-21 04:58:10
41,Maria Luísa Siqueira,146.037.285-90,643280157,67ecb65da1d63c97,d9ab395a0076e5c1,"Morro de Teixeira, 35
Betânia
93441717 Cassiano de Goiás / PR",Sá Verde,Pará,12726-760,2004-09-18,21,Arqueólogo,da Mota Azevedo S/A,18393,1.75,107.8,35.2,91557,348478703942473,628,12,2022-01-20 01:17:33
42,Dr. Felipe Fonseca,263.509.781-02,208136757,0494bc9a6760760e,6dc776b9cfaa0ab4,"Condomínio Maria Clara Albuquerque, 24
Corumbiara
60225-029 Câmara do Norte / SE",Rocha de Sousa,Tocantins,46250-115,1971-04-02,54,Eletricista,Costela e Filhos,39313,1.91,69.1,18.9,80214,3571131765146275,380,12,2021-10-12 08:45:08
43,Maria Cecília da Cunha,740.583.619-48,614203788,35bdd3dc63aec100,03a47adb6942357f,"Parque Joana Casa Grande, 5
Boa Esperança
15004-621 da Paz / PI",Cardoso,Rio Grande do Norte,70054-385,2004-11-28,20,Geólogo,Melo S.A.,4953,1.56,117.5,48.3,91965,3565403255356492,701,16,2023-12-05 12:59:53
44,Dr. Ravi Marques,342.187.056-07,214687351,c33d28a6ef39408f,0c3682441c429206,"Estação de Sales
Minas Brasil
78235989 Nunes do Amparo / MG",Vasconcelos Grande,Rondônia,79591-809,2003-07-05,22,Amolador de ferramentas,Garcia,20157,1.96,95.9,25.0,41073,3502943282598844,625,11,2022-12-24 00:45:46
45,Dr. Josué Câmara,163.720.895-21,051682473,e82f6728e8ed2426,5184055a6e5587ce,"Área Cavalcanti, 564
Vila Real 2ª Seção
03024-376 Vasconcelos / RN",Silveira,Minas Gerais,45344-922,1953-03-13,72,Chapeiro,Santos,18877,1.99,51.2,12.9,48263,4950489547844180,681,7,2022-09-11 22:40:16
46,Amanda Almeida,964.381.207-31,514762032,372c99c2fbc61532,4ef452aded6de0d2,"Avenida de Rodrigues, 82
Marieta 2ª Seção
67570130 Cavalcanti / RJ",Jesus de Alves,Piauí,42097-721,1987-01-20,38,Promotor de vendas,Souza S/A,35975,1.78,62.9,19.9,90760,6567935672224945,352,5,2024-08-20 00:19:46
47,Luara da Paz,405.918.267-20,81567420X,d263ff3419c0deca,ea7e6c1b953c6f8b,"Lagoa de Gonçalves, 43
Vila Madre Gertrudes 4ª Seção
82287-744 Dias / PR",Oliveira,Rio Grande do Sul,41634-353,1964-11-12,60,Desenhista,Teixeira S/A,3715,1.65,72.3,26.6,87314,587257138509,465,4,2021-05-03 17:48:54
48,Josué Vieira,267.951.804-76,120487639,80d7c94437d838b1,cc3935fb50d3fa38,"Feira de Cavalcanti, 10
Vila Aeroporto
23879725 Cardoso / PA",Carvalho,Amazonas,48419-147,1983-01-08,42,Profissional de relações públicas,da Conceição Fogaça Ltda.,10749,1.79,65.0,20.3,78408,6011425657482058,431,14,2022-03-30 09:17:00
49,Pedro Lucas Viana,480.637.592-65,436850278,ba85abb5c315d908,216d7215aaad39f1,"Alameda de Camargo, 37
Vila Maloca
84378541 Fogaça / PA",Nogueira,Rio Grande do Sul,40488963,1985-04-09,40,Gastrônomo,Lima Siqueira S.A.,4076,1.92,90.7,24.6,89622,6549899028975928,734,15,2022-06-02 23:46:24
50,Davi Lucca Nunes,160.327.845-17,230617852,c5a34c0b5e5090a7,df4561b1c8ad62f5,"Loteamento de Pastor
Unidas
12189-677 Siqueira da Prata / AL",Cavalcanti de da Conceição,Rio Grande do Norte,67859150,1960-06-21,65,Tecnólogo em papel e celulose,Cirino,4546,1.64,115.1,42.8,54735,3549423364151734,728,14,2023-12-02 15:54:57
51,Julia Andrade,342.980.165-60,013874627,6c6e5a58411b4170,0ebd41fee9311702,"Distrito Fogaça, 184
Madre Gertrudes
45888-247 Jesus de Minas / SE",Montenegro,Rondônia,63985-444,1990-06-15,35,Físico nuclear,Cavalcanti Ltda.,27293,1.64,88.0,32.7,57943,6011861794598788,534,13,2021-06-12 01:56:01
52,Maria Luiza das Neves,845.129.607-67,160247834,3b137da4a5215511,544f1f9e6e45a6f5,"Estrada de Jesus, 89
Nazare
76120-617 Borges dos Dourados / PB",Abreu de Almeida,Acre,99450818,1950-01-04,75,Alpinista,Oliveira Barros Ltda.,46868,1.77,100.3,32.0,20018,346952770138480,601,0,2022-07-11 16:46:46
53,Sr. Gustavo Jesus,307.486.519-93,017534264,4fbf7d7417c07e74,ab7635350b355fbc,"Campo de Oliveira
Jaqueline
74342-598 Fernandes de Minas / BA",Leão Grande,Mato Grosso do Sul,50146242,2007-03-31,18,Serralheiro,Nunes - EI,42777,1.93,86.9,23.3,24765,6521930612273735,781,10,2023-04-26 20:30:21
54,Francisco Nunes,406.917.325-07,458327165,cc40f70aa37e43e4,8f8a86f19451e807,"Lagoa de Mendes
Nova Cintra
41645737 Brito do Oeste / RJ",Fernandes,Rio Grande do Sul,74681-338,1968-03-06,57,Manobrista,Rodrigues e Filhos,12853,1.89,115.9,32.4,62523,180089217789416,382,2,2023-03-07 06:44:19
55,Luiz Henrique Costa,906.823.574-56,835271407,e7af41de5a7f0600,bafcab900ee08c3b,"Rua Benicio Melo, 69
Cidade Nova
92744-198 Lopes de Brito / RO",Duarte dos Dourados,Rondônia,05323-528,2001-08-26,24,Técnico em tratamento de água,Santos Teixeira - EI,13881,1.59,119.4,47.2,91363,4822602019484,424,2,2021-10-01 19:53:24
56,Ana Cecília Ferreira,465.139.820-06,174380562,561db79a1bdd528f,0071b206ea7755dd,"Fazenda Natália Azevedo, 7
Lagoinha
28945-858 Mendonça / MA",Guerra,Amapá,85651258,1994-05-03,31,Radialista,Fonseca Ltda.,33129,1.59,79.1,31.3,27655,213180613997173,437,20,2025-07-11 06:06:01
57,Luísa Monteiro,574.062.183-62,205376411,cfaa1e00332c0b99,fa5c8efabadb7fc8,"Via Carvalho, 68
Campo Alegre
36243-335 Machado de Nascimento / AM",Ribeiro do Sul,Goiás,97480649,1967-11-29,57,Odontologista preventivo e social,Leão e Filhos,37133,1.68,117.3,41.6,91898,6579698311057243,322,5,2024-03-25 00:38:30
58,Calebe Pacheco,483.629.107-04,574162033,49c87a30541bf223,bb431df636096b35,"Morro Azevedo, 76
Varzea Da Palma
71698-099 Aragão / GO",Lima do Norte,Piauí,74423402,1970-12-13,54,Designer de interiores,Porto,48791,1.79,69.3,21.6,57034,3534159859885769,389,4,2020-12-09 23:04:19
59,Anna Liz Dias,196.278.543-28,832716509,0aa4a8a28ec7e24c,6373eb6f6be9ce76,"Chácara de Novaes, 623
Glória
45129869 Vasconcelos / PI",Pinto Grande,Piauí,67783647,1999-02-27,26,Engenheiro petroquímico,Lopes,39364,1.52,89.0,38.5,53337,4726637985066,335,10,2024-03-30 15:14:17
60,Davi Lucca Gomes,738.942.501-60,206453784,e537aeceeb18ba01,143f7b546d5c5289,"Campo da Rosa, 71
Ribeiro De Abreu
07510-137 Caldeira / SE",Ribeiro de Fernandes,Mato Grosso,64934-627,1999-09-18,26,Tecnólogo em processos químicos,Machado das Neves - EI,22088,1.84,63.8,18.8,32638,4837237598983513408,484,3,2022-08-14 21:36:57
61,Nicolas das Neves,408.521.673-26,01348526X,edfbe48f8810ca4d,27d623207a9746c6,"Lagoa de Viana
Santo André
30401156 Machado / PA",Pereira,Paraíba,36286412,1970-02-04,55,Terapeuta Holístico,da Conceição Vasconcelos S/A,38889,1.99,71.6,18.1,43757,343213920581852,357,20,2023-02-24 00:15:13
62,Milena Cavalcanti,129.387.056-03,516483201,e522911b986a5967,4b9f71109f54c276,"Feira Lorena Sousa
Lagoinha Leblon
20415438 Brito / MG",Aragão,Minas Gerais,96403-292,2003-07-13,22,Pára-quedista,Albuquerque,46310,1.94,85.4,22.7,90002,4186017944151068296,641,18,2024-08-22 01:39:38
63,Laís Cirino,748.026.351-17,152304861,f4986242116366aa,fd386e78abdc0a8b,"Feira de Machado, 9
Alto Barroca
77287-438 Nunes / PA",Pastor,Bahia,35660-614,1969-03-04,56,Caminhoneiro,Cavalcanti Pacheco S/A,9931,1.67,99.6,35.7,16132,3535557868826907,464,11,2023-03-06 01:48:25
64,Mariana da Luz,823.617.490-50,541706287,6c8cd3929d896502,853b3cfc6f8199e4,"Setor Rodrigues, 17
Ventosa
93148855 Gonçalves Verde / AM",Pimenta da Prata,Goiás,84017-870,1975-05-19,50,Senador,da Mota S/A,45284,1.61,55.1,21.3,63600,4264893581205,716,20,2022-10-17 05:16:14
65,Lorenzo Monteiro,582.976.310-95,564182734,fd9bbbedfa3d0b76,7d741edd7292eaf1,"Vereda de da Mota, 7
Araguaia
13274286 das Neves de Goiás / RR",Macedo da Mata,Ceará,90621-055,1948-04-17,77,Administrador público,Mendonça S.A.,41191,1.95,65.0,17.1,18367,3565241550661707,486,20,2022-02-10 08:56:39
66,Vitória Costa,369.748.120-78,182436056,0fe89565afdf3e12,b24815871491e02d,"Chácara Carvalho, 21
São Francisco Das Chagas
95699121 Costela / RS",Nascimento das Pedras,Roraima,35499266,1971-05-30,54,Engenheiro metalúrgico,Teixeira da Rocha e Filhos,36945,1.96,82.0,21.3,83242,2583313380369890,794,14,2023-07-12 23:15:35
67,Gustavo Castro,175.249.806-20,028657317,4d50e1846c1a0b9a,422e6b642616c239,"Fazenda de Fonseca, 833
Santo Antônio
46347357 Ribeiro Paulista / SE",Ramos,Rio Grande do Norte,65665972,2000-03-04,25,Patinador,Porto,19689,1.92,54.7,14.8,94294,6011273603239143,713,7,2023-06-10 17:47:46
68,Matheus da Mota,514.306.729-43,782416354,10b1fe18f4af0e9c,b86b3c417f149751,"Viaduto Maria Flor Vargas
Silveira
46593-883 Mendes / SP",da Cruz do Amparo,Sergipe,71895568,1968-11-23,56,Engenheiro de transportes,Vieira,19836,1.98,112.9,28.8,13876,4946203168307899,695,0,2022-09-23 12:17:03
69,Sabrina Casa Grande,802.796.345-10,453782061,423cfa48eb3be49c,4482d6d6fc0b788c,"Estrada Aragão, 40
Nova Cachoeirinha
07720475 Pacheco / AL",Gomes das Flores,Paraná,54330-599,1955-08-29,70,Jornaleiro,Câmara,11997,1.94,116.4,30.9,20432,4303381295444459,585,20,2023-06-01 01:11:14
70,Ísis Moreira,704.298.316-50,815346207,e364a57ce8af2cef,31fb1ad552913674,"Estrada Rafaela Ramos, 27
Nova Esperança
23544-873 Melo / SC",Pimenta,Roraima,53268-278,1967-01-10,58,Tecnólogo em tecnologia da madeira,Cirino,10463,1.72,80.7,27.3,77419,4052555193027903,844,5,2024-06-12 18:18:59
71,Sra. Eloá Cavalcante,903.562.871-30,301864275,3a14c0c726dec450,330025530988af61,"Praça Ribeiro
Chácara Leonina
76087-348 Duarte da Serra / AP",Marques de Goiás,Amazonas,89031-507,1986-08-20,39,Administrador,Dias Ltda.,16662,1.9,90.3,25.0,60076,371913477834779,565,18,2022-10-31 06:38:49
72,Paulo da Mata,132.960.587-02,205817348,ddbdb342b9293561,5f8376aa38354687,"Avenida Souza, 70
Camponesa 2ª Seção
17681-247 Albuquerque do Norte / SC",Cavalcanti,Pernambuco,76743-781,2000-10-06,25,Sonoplasta,Monteiro Gonçalves - EI,40417,1.97,97.7,25.2,18516,213153967031782,309,0,2023-08-17 15:37:05
73,Diogo Leão,279.036.451-61,047865325,b53cbb7da315d080,9b1d2279eec6abab,"Favela João Felipe Sampaio, 549
Urca
61390-478 Pimenta do Sul / SE",Silva de da Mata,Rio Grande do Norte,97777-070,1974-09-30,51,Assistente de direção,Cirino,23612,1.95,111.3,29.3,56242,676281070331,585,1,2023-05-05 00:23:48
74,Otávio Gomes,147.539.062-99,021843752,708aeed415122a96,b0f1b86390a8c55b,"Viela Freitas, 47
Camponesa 2ª Seção
39821-720 Mendonça Grande / GO",Farias,Santa Catarina,70673-901,1959-02-27,66,Tecnólogo em esporte e lazer,Pastor,46759,1.88,116.6,33.0,40395,561736498099,820,9,2024-02-09 05:44:41
75,Emanuel Cassiano,843.279.560-74,376810543,bf2a3b4bc8eb2ba7,0ed1a4384c9050ba,"Quadra Silveira, 1
Acaba Mundo
88118-654 Costela de Ferreira / MS",Pacheco,Paraíba,35698550,1961-02-14,64,Fiscal,Araújo da Cunha - ME,12806,1.94,96.1,25.5,60164,4368956437137970,608,12,2023-05-21 07:55:11
76,Bernardo Leão,209.413.685-05,287634516,05618fb23d111eee,74460fae38e9091b,"Passarela Santos, 9
Marçola
51739759 Cunha da Mata / GO",Ferreira do Norte,Mato Grosso,09642-662,2001-12-14,23,Tenente,Vasconcelos Lima - ME,3144,1.72,67.6,22.9,83604,4913534376345827322,750,8,2022-07-28 05:18:05
77,Davi Lucca Vieira,342.658.791-28,407218361,f8ac1c836fced21a,26986f7e456059b4,"Praia Josué Farias, 15
Cruzeiro
64444549 Silva da Prata / MG",Cirino de Vasconcelos,Roraima,92477-047,1959-02-21,66,Dançarino,Lopes,30769,1.69,110.4,38.7,89684,180046078756959,370,0,2025-02-19 19:11:43
78,Eloá Gomes,326.095.847-92,816037243,b02d6e74b34c0333,32cda0e4a0a1381d,"Setor Moraes
Braúnas
63677272 Silveira de Moreira / SP",Caldeira de Brito,Ceará,05880-382,1998-12-06,26,Mecanógrafo,Ribeiro Jesus Ltda.,12611,1.61,112.0,43.2,48932,6563618031933349,483,1,2023-01-08 23:47:37
79,João Vitor Leão,760.584.193-01,157603428,90f2779c3208b367,1fd881248e60f8b0,"Chácara João Gabriel Peixoto, 65
Lourdes
89851853 Souza do Galho / MS",Costa,Santa Catarina,64870207,1959-05-07,66,Escritor,Farias,41629,1.76,90.4,29.2,17980,501800660521,440,6,2021-09-15 14:37:56
