id,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,score_credito,tempo_cliente,data_cadastro
18,mendesmaria-clara@example.com,+55 (084) 8715-1888,"Sítio Emanuelly Aparecida, 182
Conjunto Capitão Eduardo
27609702 Dias / GO",Fonseca,Santa Catarina,30900868,1983-10-03,42,Engenheiro aeronáutico,da Conceição Cardoso - ME,40273,1.64,59.9,22.3,55170,315,11,2022-12-29 13:34:35
19,oliveirajoao-guilherme@example.net,+55 (081) 1593-9758,"Viaduto de Ribeiro, 746
Olhos D'água
46808-436 Pacheco da Serra / RJ",Nascimento da Prata,Roraima,22648-669,2006-08-01,19,Dublê,Cunha - EI,27777,1.65,113.9,41.8,52415,838,1,2023-06-09 15:17:59
20,anapereira@example.com,+55 11 0985-0053,"Via de Pacheco, 4
Mangabeiras
86334-517 Sales / MA",Garcia da Praia,Goiás,67976-398,1965-07-14,60,Tecnólogo em silvicultura,da Conceição Moreira S/A,26100,1.57,90.2,36.6,48881,755,10,2025-07-18 04:01:24
21,ottocavalcanti@example.org,(011) 6639-0038,"Viela de Almeida, 213
Saudade
82379645 Jesus do Galho / MS",Aragão,Bahia,14173-384,2002-12-28,22,Rebarbador de metal,Rezende,38037,1.64,75.6,28.1,8645,492,19,2022-08-29 12:58:24
22,amartins@example.org,+55 (041) 3324 1158,"Fazenda Dom Freitas, 72
Conjunto Lagoa
39786939 da Mata / MA",Santos da Praia,Alagoas,46600975,1983-09-02,42,Tosador,Garcia,23632,1.94,57.3,15.2,33688,351,13,2024-09-20 03:10:09
23,carolina09@example.org,+55 11 3055 7574,"Setor de Aragão, 75
Vila Nova Cachoeirinha 1ª Seção
94917-743 Correia Verde / SC",Rios,Rondônia,01281-789,1976-10-28,48,Webdesigner,Vasconcelos Almeida e Filhos,21521,1.96,79.0,20.6,55707,567,20,2021-12-21 09:55:01
24,albuquerquealexia@example.net,0800-700-9541,"Pátio de Porto, 68
Centro
55995401 Moreira / AM",Brito do Sul,Paraíba,53128-099,2002-08-13,23,Cardiologista,Machado Almeida S.A.,37153,1.76,92.1,29.7,79045,431,1,2021-12-24 19:11:04
25,pintootavio@example.net,+55 84 4809 7278,"Avenida Montenegro, 21
Jardim Dos Comerciarios
26511408 Lopes dos Dourados / CE",Gonçalves das Flores,Paraíba,33503305,1949-11-12,75,Coreógrafo,Almeida Costela - EI,19122,1.55,75.5,31.4,15378,666,13,2024-10-16 13:09:14
26,ceciliaaparecida@example.com,+55 61 0267-8183,"Chácara Fogaça, 361
Andiroba
50426509 Abreu / AC",Mendes de Fonseca,Minas Gerais,55088097,1957-05-01,68,Policial civil,Macedo Barros Ltda.,18747,1.9,80.4,22.3,53452,415,5,2023-11-22 23:00:47
27,pietracamargo@example.org,(061) 8332 7439,"Ladeira de da Cunha, 393
Distrito Industrial Do Jatoba
87445-808 Sampaio / SC",Pires,Mato Grosso do Sul,25343-361,1996-04-05,29,Naturólogo,da Conceição,41978,1.95,74.8,19.7,73884,543,12,2024-07-18 16:54:27
28,marqueslarissa@example.org,+55 51 0541 0530,"Viela Pacheco
São Benedito
92546-868 Moraes do Amparo / RN",Macedo de Minas,Ceará,02378-770,1977-02-22,48,Engenheiro de processos,Rezende S/A,17560,1.89,88.4,24.7,38680,688,7,2025-05-15 22:16:36
29,ribeirosara@example.org,+55 41 4055 4622,"Feira Clarice Campos
Vila Formosa
80178-193 Pimenta da Prata / MG",Costa,Piauí,85272-995,2007-06-13,18,Policial militar,Aparecida,29465,1.5,75.1,33.4,56682,777,19,2022-04-06 09:39:13
30,isadora48@example.org,21 6986 8514,"Esplanada Mateus Costela, 725
Virgínia
37314-908 Brito de Sousa / AL",Pimenta,Rio Grande do Norte,96642234,1971-07-16,54,Engenheiro florestal,Vasconcelos Barbosa Ltda.,49201,1.87,75.0,21.4,50913,794,18,2020-10-10 02:21:36
31,lunnaduarte@example.com,(021) 7416-1923,"Esplanada Carolina Alves
Lourdes
59591-394 Leão / MG",Peixoto,Paraná,39497473,1984-03-16,41,Copeiro,Melo Almeida e Filhos,24450,1.56,109.7,45.1,35600,451,12,2024-09-15 04:43:26
32,lucasmelo@example.org,0500 210 5523,"Vereda Sousa, 362
Serra
17284-290 Caldeira / RN",da Cruz,Rio Grande do Sul,37904641,1989-05-28,36,Neurocirurgião,Pacheco Cavalcante e Filhos,24660,1.81,80.5,24.6,88217,629,3,2023-11-18 01:02:07
33,luiz-otavio36@example.net,+55 (084) 3887 6207,"Lagoa Carvalho, 50
Penha
89909-175 Jesus / RS",Rocha,São Paulo,43125715,1995-02-25,30,Líder comunitário,da Conceição Ltda.,14962,1.94,70.9,18.8,79273,452,18,2021-07-29 08:38:39
34,ana-juliasampaio@example.net,21 1473-6357,"Lagoa Sá, 8
Vila Independencia 2ª Seção
53024781 Machado / MG",Lopes,Paraíba,91292-562,1971-08-26,54,Atleta de arremesso de peso,Azevedo Ltda.,49298,1.86,62.7,18.1,29229,428,3,2024-05-13 03:05:13
35,luigida-mota@example.net,+55 41 6411-5513,"Setor Moreira, 3
Maria Virgínia
00276635 Aparecida dos Dourados / MA",Cassiano da Prata,Rio de Janeiro,32494829,1971-08-24,54,Geólogo,Pacheco,5756,1.83,54.6,16.3,96362,539,6,2020-11-12 01:41:13
36,camposmaria-eduarda@example.com,61 3484 6646,"Residencial de Pimenta, 189
Conjunto Paulo Vi
42660-140 Cunha / RO",da Cruz,Rio Grande do Sul,64621807,1996-01-27,29,Harpista,Dias,25947,1.79,113.2,35.3,85256,431,7,2024-06-27 18:41:46
37,vitorsampaio@example.net,61 4204-1797,"Trecho Rafael Vasconcelos, 55
Vila Betânia
32971-063 Sousa / GO",Novais do Norte,Tocantins,29572-151,1986-05-10,39,Senador,Câmara,8281,1.63,63.5,23.9,42147,628,15,2023-10-15 02:39:18
38,qporto@example.org,+55 (041) 7108-1282,"Favela de Cassiano
Vila Aeroporto
12020-795 Jesus / MA",Costela da Praia,Rio Grande do Norte,75711-215,1946-12-12,78,Cozinheira,Freitas,19511,1.95,53.5,14.1,68822,774,4,2021-04-23 04:28:39
39,cnovais@example.org,+55 41 4182 2542,"Praça Ana Laura Almeida, 87
Beira Linha
69216006 Pinto de Goiás / PB",Rocha,Acre,10255043,1996-01-24,29,Marechal,Pacheco Ltda.,19271,1.77,66.8,21.3,9082,815,1,2021-11-30 16:54:32
40,yda-mata@example.com,71 3799 3155,"Recanto de da Mata, 1
Jardim São José
67458-629 Porto de Fogaça / GO",Montenegro de Goiás,Pernambuco,41927-242,1984-02-19,41,Mensageiro,Rezende,36730,1.75,106.2,34.7,14889,691,6,2022-03-21 04:58:10
41,eduardasampaio@example.com,11 7942 9322,"Morro de Teixeira, 35
Betânia
93441717 Cassiano de Goiás / PR",Sá Verde,Pará,12726-760,2004-09-18,21,Arqueólogo,da Mota Azevedo S/A,18393,1.75,107.8,35.2,91557,628,12,2022-01-20 01:17:33
42,jose01@example.com,+55 (031) 4703 6954,"Condomínio Maria Clara Albuquerque, 24
Corumbiara
60225-029 Câmara do Norte / SE",Rocha de Sousa,Tocantins,46250-115,1971-04-02,54,Eletricista,Costela e Filhos,39313,1.91,69.1,18.9,80214,380,12,2021-10-12 08:45:08
43,caiobarros@example.org,(051) 9164 9598,"Parque Joana Casa Grande, 5
Boa Esperança
15004-621 da Paz / PI",Cardoso,Rio Grande do Norte,70054-385,2004-11-28,20,Geólogo,Melo S.A.,4953,1.56,117.5,48.3,91965,701,16,2023-12-05 12:59:53
44,hleao@example.net,(061) 4004-6206,"Estação de Sales
Minas Brasil
78235989 Nunes do Amparo / MG",Vasconcelos Grande,Rondônia,79591-809,2003-07-05,22,Amolador de ferramentas,Garcia,20157,1.96,95.9,25.0,41073,625,11,2022-12-24 00:45:46
45,nogueiramaria-vitoria@example.org,81 6246-9050,"Área Cavalcanti, 564
Vila Real 2ª Seção
03024-376 Vasconcelos / RN",Silveira,Minas Gerais,45344-922,1953-03-13,72,Chapeiro,Santos,18877,1.99,51.2,12.9,48263,681,7,2022-09-11 22:40:16
46,silvabianca@example.com,+55 31 5451-2281,"Avenida de Rodrigues, 82
Marieta 2ª Seção
67570130 Cavalcanti / RJ",Jesus de Alves,Piauí,42097-721,1987-01-20,38,Promotor de vendas,Souza S/A,35975,1.78,62.9,19.9,90760,352,5,2024-08-20 00:19:46
47,lopeslucca@example.com,84 0372-9422,"Lagoa de Gonçalves, 43
Vila Madre Gertrudes 4ª Seção
82287-744 Dias / PR",Oliveira,Rio Grande do Sul,41634-353,1964-11-12,60,Desenhista,Teixeira S/A,3715,1.65,72.3,26.6,87314,465,4,2021-05-03 17:48:54
48,isaque46@example.net,(011) 0926-1849,"Feira de Cavalcanti, 10
Vila Aeroporto
23879725 Cardoso / PA",Carvalho,Amazonas,48419-147,1983-01-08,42,Profissional de relações públicas,da Conceição Fogaça Ltda.,10749,1.79,65.0,20.3,78408,431,14,2022-03-30 09:17:00
49,sampaiopietra@example.org,+55 31 6788 5032,"Alameda de Camargo, 37
Vila Maloca
84378541 Fogaça / PA",Nogueira,Rio Grande do Sul,40488963,1985-04-09,40,Gastrônomo,Lima Siqueira S.A.,4076,1.92,90.7,24.6,89622,734,15,2022-06-02 23:46:24
50,gabriel50@example.org,71 9264 9633,"Loteamento de Pastor
Unidas
12189-677 Siqueira da Prata / AL",Cavalcanti de da Conceição,Rio Grande do Norte,67859150,1960-06-21,65,Tecnólogo em papel e celulose,Cirino,4546,1.64,115.1,42.8,54735,728,14,2023-12-02 15:54:57
51,dommarques@example.com,21 5257 3310,"Distrito Fogaça, 184
Madre Gertrudes
45888-247 Jesus de Minas / SE",Montenegro,Rondônia,63985-444,1990-06-15,35,Físico nuclear,Cavalcanti Ltda.,27293,1.64,88.0,32.7,57943,534,13,2021-06-12 01:56:01
52,ceciliaporto@example.org,+55 11 2496-4101,"Estrada de Jesus, 89
Nazare
76120-617 Borges dos Dourados / PB",Abreu de Almeida,Acre,99450818,1950-01-04,75,Alpinista,Oliveira Barros Ltda.,46868,1.77,100.3,32.0,20018,601,0,2022-07-11 16:46:46
53,lararibeiro@example.net,41 1340-9846,"Campo de Oliveira
Jaqueline
74342-598 Fernandes de Minas / BA",Leão Grande,Mato Grosso do Sul,50146242,2007-03-31,18,Serralheiro,Nunes - EI,42777,1.93,86.9,23.3,24765,781,10,2023-04-26 20:30:21
54,ana-cecilia44@example.com,41 3497 2223,"Lagoa de Mendes
Nova Cintra
41645737 Brito do Oeste / RJ",Fernandes,Rio Grande do Sul,74681-338,1968-03-06,57,Manobrista,Rodrigues e Filhos,12853,1.89,115.9,32.4,62523,382,2,2023-03-07 06:44:19
55,dantearaujo@example.org,+55 21 6525-8744,"Rua Benicio Melo, 69
Cidade Nova
92744-198 Lopes de Brito / RO",Duarte dos Dourados,Rondônia,05323-528,2001-08-26,24,Técnico em tratamento de água,Santos Teixeira - EI,13881,1.59,119.4,47.2,91363,424,2,2021-10-01 19:53:24
56,eduarda61@example.org,11 1980 2078,"Fazenda Natália Azevedo, 7
Lagoinha
28945-858 Mendonça / MA",Guerra,Amapá,85651258,1994-05-03,31,Radialista,Fonseca Ltda.,33129,1.59,79.1,31.3,27655,437,20,2025-07-11 06:06:01
57,das-nevesana-livia@example.net,+55 (011) 2181-3592,"Via Carvalho, 68
Campo Alegre
36243-335 Machado de Nascimento / AM",Ribeiro do Sul,Goiás,97480649,1967-11-29,57,Odontologista preventivo e social,Leão e Filhos,37133,1.68,117.3,41.6,91898,322,5,2024-03-25 00:38:30
58,kamilly09@example.com,+55 31 1328 7683,"Morro Azevedo, 76
Varzea Da Palma
71698-099 Aragão / GO",Lima do Norte,Piauí,74423402,1970-12-13,54,Designer de interiores,Porto,48791,1.79,69.3,21.6,57034,389,4,2020-12-09 23:04:19
59,psales@example.net,+55 (021) 2357 7936,"Chácara de Novaes, 623
Glória
45129869 Vasconcelos / PI",Pinto Grande,Piauí,67783647,1999-02-27,26,Engenheiro petroquímico,Lopes,39364,1.52,89.0,38.5,53337,335,10,2024-03-30 15:14:17
60,almeidaenzo@example.org,(081) 3633-7972,"Campo da Rosa, 71
Ribeiro De Abreu
07510-137 Caldeira / SE",Ribeiro de Fernandes,Mato Grosso,64934-627,1999-09-18,26,Tecnólogo em processos químicos,Machado das Neves - EI,22088,1.84,63.8,18.8,32638,484,3,2022-08-14 21:36:57
61,pedro-lucas19@example.net,+55 (031) 1552-0816,"Lagoa de Viana
Santo André
30401156 Machado / PA",Pereira,Paraíba,36286412,1970-02-04,55,Terapeuta Holístico,da Conceição Vasconcelos S/A,38889,1.99,71.6,18.1,43757,357,20,2023-02-24 00:15:13
62,oliviasilveira@example.com,31 2477 4817,"Feira Lorena Sousa
Lagoinha Leblon
20415438 Brito / MG",Aragão,Minas Gerais,96403-292,2003-07-13,22,Pára-quedista,Albuquerque,46310,1.94,85.4,22.7,90002,641,18,2024-08-22 01:39:38
63,maria-helena16@example.net,+55 (071) 3785 0459,"Feira de Machado, 9
Alto Barroca
77287-438 Nunes / PA",Pastor,Bahia,35660-614,1969-03-04,56,Caminhoneiro,Cavalcanti Pacheco S/A,9931,1.67,99.6,35.7,16132,464,11,2023-03-06 01:48:25
64,benjamin74@example.org,84 0181-5408,"Setor Rodrigues, 17
Ventosa
93148855 Gonçalves Verde / AM",Pimenta da Prata,Goiás,84017-870,1975-05-19,50,Senador,da Mota S/A,45284,1.61,55.1,21.3,63600,716,20,2022-10-17 05:16:14
65,urodrigues@example.org,41 3883-6262,"Vereda de da Mota, 7
Araguaia
13274286 das Neves de Goiás / RR",Macedo da Mata,Ceará,90621-055,1948-04-17,77,Administrador público,Mendonça S.A.,41191,1.95,65.0,17.1,18367,486,20,2022-02-10 08:56:39
66,jpeixoto@example.org,(041) 5195-1457,"Chácara Carvalho, 21
São Francisco Das Chagas
95699121 Costela / RS",Nascimento das Pedras,Roraima,35499266,1971-05-30,54,Engenheiro metalúrgico,Teixeira da Rocha e Filhos,36945,1.96,82.0,21.3,83242,794,14,2023-07-12 23:15:35
67,pietra36@example.com,0500 081 4220,"Fazenda de Fonseca, 833
Santo Antônio
46347357 Ribeiro Paulista / SE",Ramos,Rio Grande do Norte,65665972,2000-03-04,25,Patinador,Porto,19689,1.92,54.7,14.8,94294,713,7,2023-06-10 17:47:46
68,marianejesus@example.com,(031) 9714-5259,"Viaduto Maria Flor Vargas
Silveira
46593-883 Mendes / SP",da Cruz do Amparo,Sergipe,71895568,1968-11-23,56,Engenheiro de transportes,Vieira,19836,1.98,112.9,28.8,13876,695,0,2022-09-23 12:17:03
69,henrycassiano@example.net,21 0512 5562,"Estrada Aragão, 40
Nova Cachoeirinha
07720475 Pacheco / AL",Gomes das Flores,Paraná,54330-599,1955-08-29,70,Jornaleiro,Câmara,11997,1.94,116.4,30.9,20432,585,20,2023-06-01 01:11:14
70,marcela37@example.org,+55 21 3544 0095,"Estrada Rafaela Ramos, 27
Nova Esperança
23544-873 Melo / SC",Pimenta,Roraima,53268-278,1967-01-10,58,Tecnólogo em tecnologia da madeira,Cirino,10463,1.72,80.7,27.3,77419,844,5,2024-06-12 18:18:59
71,leonardocaldeira@example.net,0300 211 0163,"Praça Ribeiro
Chácara Leonina
76087-348 Duarte da Serra / AP",Marques de Goiás,Amazonas,89031-507,1986-08-20,39,Administrador,Dias Ltda.,16662,1.9,90.3,25.0,60076,565,18,2022-10-31 06:38:49
72,yago34@example.net,+55 84 5826 9189,"Avenida Souza, 70
Camponesa 2ª Seção
17681-247 Albuquerque do Norte / SC",Cavalcanti,Pernambuco,76743-781,2000-10-06,25,Sonoplasta,Monteiro Gonçalves - EI,40417,1.97,97.7,25.2,18516,309,0,2023-08-17 15:37:05
73,ucasa-grande@example.net,+55 84 3820 9344,"Favela João Felipe Sampaio, 549
Urca
61390-478 Pimenta do Sul / SE",Silva de da Mata,Rio Grande do Norte,97777-070,1974-09-30,51,Assistente de direção,Cirino,23612,1.95,111.3,29.3,56242,585,1,2023-05-05 00:23:48
74,cpeixoto@example.org,41 4616 6236,"Viela Freitas, 47
Camponesa 2ª Seção
39821-720 Mendonça Grande / GO",Farias,Santa Catarina,70673-901,1959-02-27,66,Tecnólogo em esporte e lazer,Pastor,46759,1.88,116.6,33.0,40395,820,9,2024-02-09 05:44:41
75,nda-paz@example.net,+55 (011) 8953 5063,"Quadra Silveira, 1
Acaba Mundo
88118-654 Costela de Ferreira / MS",Pacheco,Paraíba,35698550,1961-02-14,64,Fiscal,Araújo da Cunha - ME,12806,1.94,96.1,25.5,60164,608,12,2023-05-21 07:55:11
76,joao-gabrielvasconcelos@example.org,+55 (071) 2266 0876,"Passarela Santos, 9
Marçola
51739759 Cunha da Mata / GO",Ferreira do Norte,Mato Grosso,09642-662,2001-12-14,23,Tenente,Vasconcelos Lima - ME,3144,1.72,67.6,22.9,83604,750,8,2022-07-28 05:18:05
77,limaisadora@example.org,(011) 8711-7209,"Praia Josué Farias, 15
Cruzeiro
64444549 Silva da Prata / MG",Cirino de Vasconcelos,Roraima,92477-047,1959-02-21,66,Dançarino,Lopes,30769,1.69,110.4,38.7,89684,370,0,2025-02-19 19:11:43
78,ana48@example.org,0800-361-9216,"Setor Moraes
Braúnas
63677272 Silveira de Moreira / SP",Caldeira de Brito,Ceará,05880-382,1998-12-06,26,Mecanógrafo,Ribeiro Jesus Ltda.,12611,1.61,112.0,43.2,48932,483,1,2023-01-08 23:47:37
79,helena07@example.com,84 8324-6467,"Chácara João Gabriel Peixoto, 65
Lourdes
89851853 Souza do Galho / MS",Costa,Santa Catarina,64870207,1959-05-07,66,Escritor,Farias,41629,1.76,90.4,29.2,17980,440,6,2021-09-15 14:37:56
80,zoefernandes@example.com,+55 (061) 6530-4460,"Rua Aparecida, 2
Vila Rica
05622-331 Ferreira de Goiás / AM",da Costa,Rondônia,73857190,1973-05-31,52,Assistente administrativo,Dias - EI,15326,1.8,82.3,25.4,32305,325,6,2024-03-12 22:25:49
81,danilocassiano@example.org,0500-532-7642,"Estrada Davi Lucas Fonseca, 37
Vila Aeroporto Jaraguá
72722-861 Castro do Campo / RO",Siqueira de Minas,Amapá,39126-173,1974-08-10,51,Brigadeiro,Camargo - ME,30317,1.62,108.0,41.2,39513,629,6,2023-02-20 10:50:00
82,theo63@example.net,41 2542-5624,"Colônia Zoe Mendonça, 1
São Benedito
16874995 Machado de Siqueira / GO",da Conceição de Pastor,Ceará,25125-223,1957-06-20,68,Engenheiro de minas,da Cruz Silva Ltda.,49730,1.84,51.8,15.3,16083,840,7,2021-02-13 02:24:43
83,davi-lucasaparecida@example.com,(081) 0343 8979,"Rodovia Pacheco, 30
Universitário
13340337 Casa Grande / RN",Pires,Tocantins,05810-868,1959-05-06,66,Repórter,Pastor,17876,1.51,99.8,43.8,16331,729,17,2025-03-20 07:39:13
84,liz84@example.org,+55 41 8081-8190,"Viela Luísa Lima, 978
Lagoinha Leblon
55423-535 Ramos de Cardoso / ES",Garcia de Fonseca,Rio Grande do Sul,02199579,1947-02-21,78,Geriatra,Montenegro,39906,1.85,80.6,23.6,6626,796,7,2022-05-23 01:19:54
85,anthony-gabrielrodrigues@example.com,+55 (011) 3991 8959,"Ladeira de Carvalho, 9
Horto
45862-130 Cavalcanti / AM",Carvalho,Roraima,16148-087,1996-12-14,28,Agente de defesa sanitária,Sales S/A,48476,1.97,55.0,14.2,64658,313,0,2022-10-15 12:24:58
86,guerraanna-liz@example.org,51 1929 1449,"Favela José Fernandes, 265
Paraíso
24053209 Mendes da Mata / MS",Machado,Tocantins,43165406,1961-11-29,63,Administrador de redes,Rezende - EI,17927,1.74,108.3,35.8,68808,604,5,2022-06-02 13:50:07
87,cassianosophie@example.org,+55 (021) 9404-5750,"Área Viana, 181
Granja De Freitas
31119037 Cunha / AM",Siqueira,Alagoas,60078-273,2000-06-20,25,Ministro,Abreu S/A,42881,1.67,61.8,22.2,13491,838,12,2025-07-27 18:01:11
88,mgarcia@example.com,21 2922 9900,"Colônia de Rocha, 96
Lagoa
15181-750 Fonseca / PE",Cavalcanti do Norte,Paraná,56479483,1981-08-11,44,Artesão,Machado,49382,1.61,114.7,44.2,56657,794,2,2024-11-23 14:54:44
89,mcardoso@example.com,(084) 9983-4841,"Aeroporto de Fonseca, 9
Nossa Senhora Do Rosário
79153-483 Martins Paulista / SC",da Cruz,Paraíba,76624-812,1985-05-06,40,Ministro,Fonseca,16963,1.7,95.7,33.1,22599,360,15,2022-12-05 23:27:37
90,lucas07@example.org,(061) 7037-0599,"Loteamento de Rios, 4
Prado
37531733 Sales / SE",Rocha de Teixeira,São Paulo,99263017,1966-11-14,58,Ginasta artística,Marques,15023,1.75,81.8,26.7,37147,735,7,2023-02-04 00:56:39
91,fogacamarcos-vinicius@example.net,(011) 4728-6774,"Estrada Azevedo, 3
Alípio De Melo
69494-695 da Rocha / PA",Casa Grande de Goiás,Paraíba,54968229,1971-08-29,54,Cientista de alimentos,Rocha Araújo Ltda.,27938,1.83,62.3,18.6,11282,728,6,2024-01-01 14:29:00
92,gomesrhavi@example.com,+55 (041) 6693-8280,"Viela Maria Luiza Correia
Vila São Rafael
59799451 Oliveira Verde / SP",Rezende,Distrito Federal,85296154,1956-07-09,69,Instalador de linha telefônica,da Luz - ME,25312,1.58,51.9,20.8,58128,725,5,2023-12-08 19:42:15
93,asafe00@example.net,81 3709-0015,"Largo Antony Cavalcante
Conjunto Taquaril
27276-195 Sampaio de Aragão / SE",Fogaça do Oeste,Espírito Santo,56642-136,1995-08-24,30,Cardiologista,Leão,34376,1.53,53.3,22.8,91545,761,20,2023-02-27 15:05:49
94,jgarcia@example.net,51 7964 3314,"Vereda de Castro
Vila Sumaré
17212-327 Sousa / ES",Campos,Pernambuco,30888-135,1998-04-03,27,Tecnólogo em desenvolvimento social,Silveira da Mota e Filhos,26218,1.75,81.6,26.6,20923,693,3,2024-11-21 18:23:17
95,nandrade@example.org,81 8927 3114,"Vale Fogaça
Jaqueline
59007-718 Nogueira de Lima / SC",Pereira de Ferreira,Rio Grande do Norte,04552208,1950-05-17,75,Patologista oral,Siqueira Pires S/A,36219,1.54,119.6,50.4,23692,387,7,2021-08-03 02:32:07
96,alicia89@example.com,+55 (051) 2639-5018,"Vale de Albuquerque, 58
Nova Cachoeirinha
34422127 Garcia dos Dourados / PI",Dias de Moura,Rio de Janeiro,78866-900,1965-11-25,59,Sonoplasta,Correia,32179,1.56,88.7,36.4,56110,330,9,2021-03-28 01:45:28
